"idx","wojewodztwo"
"257","kujawsko-pomorskie"
"258","kujawsko-pomorskie"
"259","kujawsko-pomorskie"
"260","kujawsko-pomorskie"
"261","kujawsko-pomorskie"
"262","kujawsko-pomorskie"
"263","kujawsko-pomorskie"
"264","kujawsko-pomorskie"
"265","kujawsko-pomorskie"
"266","kujawsko-pomorskie"
"267","kujawsko-pomorskie"
"268","kujawsko-pomorskie"
"269","kujawsko-pomorskie"
"270","kujawsko-pomorskie"
"271","kujawsko-pomorskie"
"272","kujawsko-pomorskie"
"273","kujawsko-pomorskie"
"274","kujawsko-pomorskie"
"275","kujawsko-pomorskie"
"276","kujawsko-pomorskie"
"277","kujawsko-pomorskie"
"278","kujawsko-pomorskie"
"279","kujawsko-pomorskie"
"280","kujawsko-pomorskie"
"281","kujawsko-pomorskie"
"282","kujawsko-pomorskie"
"283","kujawsko-pomorskie"
"284","kujawsko-pomorskie"
"285","kujawsko-pomorskie"
"286","kujawsko-pomorskie"
"287","kujawsko-pomorskie"
"288","kujawsko-pomorskie"
"289","kujawsko-pomorskie"
"290","kujawsko-pomorskie"
"291","kujawsko-pomorskie"
"292","kujawsko-pomorskie"
"293","kujawsko-pomorskie"
"294","kujawsko-pomorskie"
"295","kujawsko-pomorskie"
"296","kujawsko-pomorskie"
"297","kujawsko-pomorskie"
"298","kujawsko-pomorskie"
"299","kujawsko-pomorskie"
"300","kujawsko-pomorskie"
"301","kujawsko-pomorskie"
"302","kujawsko-pomorskie"
"303","kujawsko-pomorskie"
"304","kujawsko-pomorskie"
"305","kujawsko-pomorskie"
"306","kujawsko-pomorskie"
"307","kujawsko-pomorskie"
"308","kujawsko-pomorskie"
"309","kujawsko-pomorskie"
"310","kujawsko-pomorskie"
"311","kujawsko-pomorskie"
"312","kujawsko-pomorskie"
"313","kujawsko-pomorskie"
"314","kujawsko-pomorskie"
"315","kujawsko-pomorskie"
"316","kujawsko-pomorskie"
"317","kujawsko-pomorskie"
"318","kujawsko-pomorskie"
"319","kujawsko-pomorskie"
"320","kujawsko-pomorskie"
"321","kujawsko-pomorskie"
"322","kujawsko-pomorskie"
"323","kujawsko-pomorskie"
"324","kujawsko-pomorskie"
"325","kujawsko-pomorskie"
"326","kujawsko-pomorskie"
"327","kujawsko-pomorskie"
"328","kujawsko-pomorskie"
"329","kujawsko-pomorskie"
"330","kujawsko-pomorskie"
"331","kujawsko-pomorskie"
"332","kujawsko-pomorskie"
"333","kujawsko-pomorskie"
"334","kujawsko-pomorskie"
"335","kujawsko-pomorskie"
"336","kujawsko-pomorskie"
"337","kujawsko-pomorskie"
"338","kujawsko-pomorskie"
"339","kujawsko-pomorskie"
"340","kujawsko-pomorskie"
