"data.wydania";"data.ogloszenia";"data.wykonania";"organ.wlasciwy";"ocena.konstytucyjnosci";"status.orzeczenia";"tytul.orzeczenia";"akty.prawne";"dane.orzeczenia";"dokumenty.w.sprawie"
2010-11-18;2010-11-30;2012-04-01;"Minister Pracy i Polityki Społecznej
Minister Sprawiedliwości";"niezgodny";"Wykonane";"Sankcje za nieodprowadzanie składek na ubezpieczenie społeczne";"Dz.U. 2009 r. Nr 205 poz. 1585Ustawa z dnia 13 pażdziernika 1998 r. o systemie ubezpieczeń społecznych
Dz.U. 1997 r. Nr 88 poz. 553Ustawa z dnia 6 czerwca 1997 r. - Kodeks karny";"P 29/09
Data wydania:2010-11-18
Dz.U. 2010 r. Nr 225 poz. 1474
Data ogłoszenia:2010-11-30";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-88-10
AKTY WYKONUJĄCE
Dz.U. 2012 r. poz. 611"
2010-11-16;2010-11-25;2013-09-01;"Minister Edukacji Narodowej";"niezgodny";"Wykonane";"Uprawnienie do ulgowych przejazdów środkami publicznego transportu zbiorowego dla nauczycieli przedszkolnych.";"Dz.U. 2002 r. Nr 175 poz. 1440Ustawa z dnia 20 czerwca 1992 r. o uprawnieniach do ulgowych przejazdów środkami publicznego transportu zbiorowego";"K 2/10
Data wydania:2010-11-16
Dz.U. 2010 r. Nr 222 poz. 1456
Data ogłoszenia:2010-11-25";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-86/10
AKTY WYKONUJĄCE
Dz.U. 2013 r. poz. 1421"
2010-11-15;2010-11-25;NA;"Minister Pracy i Polityki Społecznej";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Prawo do świadczenia rodzinnego osób niepełnosprawnych.";"Dz.U. 2006 r. Nr 139 poz. 992Ustawa z dnia 28 listopada 2003 r. o świadczeniach rodzinnych";"P 32/09
Data wydania:2010-11-15
Dz.U. 2010 r. Nr 222 poz. 1455
Data ogłoszenia:2010-11-25";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-84_10"
2010-11-09;2010-11-19;2011-09-01;"Minister Sprawiedliwości";"niezgodny";"Wykonane";"Postępowanie zabezpieczające w sprawach przeciwko środkom społecznego przekazu o ochronę dóbr osobistych";"Dz.U. 1964 r. Nr 43 poz. 296Ustawa z dnia 17 listopada 1964 r. - Kodeks postępowania cywilnego";"K 13/07
Data wydania:2010-11-09
Dz.U. 2010 r. Nr 217 poz. 1435
Data ogłoszenia:2010-11-19";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-82_10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 233 poz. 1381"
2010-11-04;2010-11-16;2011-09-01;"Minister Sprawiedliwości";"niezgodny";"Wykonane";"Eksmisja i prawo do lokalu socjalnego";"Dz.U. 1964 r. Nr 43 poz. 296Ustawa z dnia 17 listopada 1964 r. - Kodeks postępowania cywilnego
Dz.U. 2004 r. Nr 172 poz. 1804Ustawa z dnia 2 lipca 2004 r. o zmianie ustawy – Kodeks postępowania cywilnego oraz niektórych innych ustaw";"K 19/06
Data wydania:2010-11-04
Dz.U. 2010 r. Nr 215 poz. 1418
Data ogłoszenia:2010-11-16";"[Pokaż szczegóły]

ANALIZA
Analiza wyroku TK K 19_06
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 224 poz. 1342"
2010-10-29;2010-11-04;2012-07-01;"Minister Infrastruktury i Rozwoju";"niezgodny";"Wykonane";"Nabycie własności nieruchomości przez zasiedzenie";"Dz.U. 2003 r. Nr 119 poz. 1116Ustawa z dnia 15 grudnia 2000 r. o spółdzielniach mieszkaniowych";"P 34/08
Data wydania:2010-10-29
Dz.U. 2010 r. Nr 207 poz. 1373
Data ogłoszenia:2010-11-04";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-77-10
AKTY WYKONUJĄCE
Dz.U. 2012 r. poz. 989"
2010-10-28;2010-11-03;2011-07-01;"Minister Pracy i Polityki Społecznej";"niezgodny";"Wykonane";"Zasady przyznawania zasiłku pogrzebowego";"Dz.U. 2009 r. Nr 153 poz. 1227Ustawa z dnia 17 grudnia 1998 r. o emeryturach i rentach z Funduszu Ubezpieczeń Społecznych";"P 25/09
Data wydania:2010-10-28
Dz.U. 2010 r. Nr 205 poz. 1365
Data ogłoszenia:2010-11-03";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-75-10
AKTY WYKONUJĄCE
Dz.U. 2011 r. Nr 187 poz. 1112"
2010-10-27;2010-11-03;NA;"Minister Sprawiedliwości";"niezgodny";"Brak konieczności podjęcia prac legislacyjnych";"Uchylenie immunitetu sędziom, którzy orzekali kary na podstawie działających wstecz przepisów dekretu o stanie wojennym";"Dz.U. 2003 r. Nr 228 poz. 2256Ustawa z dnia 28 listopada 2003 r. o zmianie ustawy — Prawo o ustroju sądów powszechnych, ustawy o prokuraturze, ustawy — Prawo o ustroju sądów wojskowych oraz niektórych innych ustaw";"K 10/08
Data wydania:2010-10-27
Dz.U. 2010 r. Nr 205 poz. 1364
Data ogłoszenia:2010-11-03";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-74-10"
2010-10-26;2010-11-03;2012-01-01;"Międzyresortowy Zespół do Spaw Reformy Systemu Ubezpieczenia Społecznego Rolników";"niezgodny";"Wykonane";"Zasady finansowania z budżetu państwa składek na ubezpieczenie zdrowotne rolników";"Dz.U. 2008 r. Nr 164 poz. 1027Ustawa z dnia 27 sierpnia 2004 r. o świadczeniach opieki zdrowotnej finansowanych ze środków publicznych";"K 58/07
Data wydania:2010-10-26
Dz.U. 2010 r. Nr 205 poz. 1363
Data ogłoszenia:2010-11-03";"[Pokaż szczegóły]

ANALIZA
DPiO 56-83-10
AKTY WYKONUJĄCE
Dz.U. 2012 r. poz. 123"
2010-10-18;2010-10-27;2014-07-01;"Minister Rolnictwa i Rozwoju Wsi
Minister Sprawiedliwości
Minister Infrastruktury i Rozwoju
Minister Zdrowia";"niezgodny";"Wykonane";"Obowiązek przynależności do samorządu zawodowego oraz sankcji dożywotniego pozbawienia prawa do wykonywania zawodu.";"Dz.U. 2010 r. Nr 10 poz. 65Ustawa z dnia 6 lipca 1982 r. o radcach prawnych
Dz.U. 2009 r. Nr 146 poz. 1188Ustawa z dnia 26 maja 1982 r. – Prawo o adwokaturze
Dz.U. 1991 r. Nr 41 poz. 178Ustawa z dnia 19 kwietnia 1991 r. o samorządzie pielęgniarek i położnych
Dz.U. 2001 r. Nr 49 poz. 509Ustawa z dnia 11 kwietnia 2001 r. o rzecznikach patentowych
Dz.U. 2001 r. Nr 5 poz. 42Ustawa z dnia 15 grudnia 2000 r. o samorządach zawodowych architektów, inżynierów budownictwa oraz urbanistów
Dz.U. 2009 r. Nr 93 poz. 767Ustawa z dnia 21 grudnia 1990 r. o zawodzie lekarza weterynarii i izbach lekarsko-weterynaryjnych";"K 1/09
Data wydania:2010-10-18
Dz.U. 2010 r. Nr 200 poz. 1326
Data ogłoszenia:2010-10-27";"[Pokaż szczegóły]

ANALIZA
DPiO 5604-68-10
AKTY WYKONUJĄCE
Dz.U. 2014 r. poz. 993"
