;;;;;;;;prestiz;prestiz;prestiz;prestiz;innowacyjnosc;innowacyjnosc;innowacyjnosc;potencjal naukowy;potencjal naukowy;potencjal naukowy;potencjal naukowy;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;efektywnosc naukowa;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;warunki studiowania;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie;umiedzynarodowienie
Miasto;Typ Uczelni;Reszta Nazwy;ranking 2011;ranking 2010;ranking 2009;ranking 2008;suma punktow;preferencje pracodawcow;ocena kadry akademickiej;uznanie miedzynarodowe;wybor olimpijczykow;patenty i inne;srodki z UE;zaplecze innowacyjne;ocena parametryczna;uprawnienia do nawadania stopni naukowych;nasycenie kadry profesorami;akredytacje;rozwoj kadry wlasnej;nadane stopnie naukowe;pozyskiwanie srodkow zewnetrznych na badania;publikacje;cytowania;h-index;udzial uczelni w PR;studia doktoranckie;dostepnosc kadr dla studentow;zbiory elektroniczne;zbiory drukowane;korzystanie z biblioteki;dostepnosc dla studentow zamiejscowych;osiagniecia sportowe;studia w j obcym;studiujacy w j obcym;wymiana studencka wyjazdy;wymiana studencka przyjazdy;wielokulturowosc;nauczyciele z zagranicy;wyklady w j obcych
Katowice;Uniwersytet;Slaski w Katowicach;16;19;26;25;51.47;25.25;19.2;3.27;2.24;5.47;84.37;56.16;88.33;34.5;51.76;42.86;44.68;46.97;4.72;55.36;27.9;51.06;7.02;34.04;37.78;39.25;40.83;81.86;19.64;78.13;19.23;0.61;26.49;3.71;1.66;20.59;16.54
Poznan;Politechnika;Poznanska;17;25;27;37;50.84;32.27;13.92;2.82;7.46;42.31;62.06;61.96;84;43.27;37.13;7.14;38.83;31.57;20.9;60.4;22.57;46.81;29.82;22.91;33.52;35.64;23.62;73.16;24.44;91.22;23.08;13.81;31.7;11.05;1.57;2.82;19.69
Gdansk;Uniwersytet;Gdanski;18;20;17;20;50.3;15.65;15.67;2.7;4.37;4.05;48.02;60.51;87.27;48.54;44.76;25;37.27;49.21;3.92;41.21;36.76;53.19;12.28;33.84;32.66;16.81;47.32;77.17;13.24;89.99;46.15;12.74;29.24;11.57;5.46;27.64;29.53
Warszawa;Uniwersytet Medyczny;Warszawski;19;16;16;12;49.3;2.1;20.73;0;24.13;1.62;27.33;62.86;70;20.47;32.16;17.86;50.34;49.58;6.74;79.12;40.31;78.72;5.26;32.1;75.59;24.94;16.95;21.41;11.87;23.74;7.69;37.91;44.97;13;46.09;6.83;29.53
Gdansk;Uniwersytet Medyczny;Gdanski;20;17;20;23;49.29;1.81;6.64;0;8.51;4.25;6.49;38.59;100;16.96;31.28;28.57;43.51;31.99;5.84;90.03;57.97;70.21;3.51;24.81;85.24;51.6;38.75;60.82;38.05;25.94;7.69;48.59;40.11;7.97;84.35;0;0.98
Lublin;Uniwersytet Medyczny;w Lublinie;21;23;14;17;48.83;0;4.81;0;7.51;16.6;29.91;0.72;80;19.88;33.59;17.86;74.61;52.89;4.46;62.93;33.89;46.81;0;27.54;82.91;36.42;23.03;71.26;33.55;12.93;11.54;66.51;5.61;1.26;87.66;1.06;0
Warszawa;Szkola Glowna;Gospodarstwa Wiejskiego;22;24;19;11;48.25;11.53;29.2;0;26.84;6.88;8.55;7.25;73.85;34.5;47.45;7.14;53.85;52.06;11.08;46.26;25.63;42.55;14.04;16.78;29.86;34.98;16.41;88.35;33.98;86.64;26.92;15.33;27.77;11.75;8.52;7.26;25.39
Lodz;Uniwersytet Medyczny;w Lodzi;23;22;30;30;47.6;1.24;9.07;0;0;0.61;38.93;54.35;88;27.49;41.89;21.43;32.82;39.65;9.56;91.45;31.76;72.34;12.28;73.54;100;37.87;26.12;75.93;20.26;19.73;11.54;23.19;14.71;4.58;27.28;1.54;1.97
Szczecin;Uniwersytet Medyczny;Pomorski w Szczecinie;24;12;21;26;46.41;0.06;4.26;0;0;2.43;17.13;12.86;75;14.62;46.5;10.71;60.85;44.35;6.94;84.61;27.49;44.68;0;27.33;98.91;50.18;42.15;90.13;32.52;2.22;7.69;37.83;8.84;0;100;10.45;22.44
Warszawa;Akademia;Leona Kozminskiego w Warszawie;25;28;31;41;44.86;29.38;2.6;54.1;7.87;0;2.39;53.99;100;5.26;29.7;17.86;19.6;30.34;3.9;1.24;11.77;10.64;3.51;24;26.97;38.79;27.41;72.93;0;84.98;30.77;46.45;67.24;66.98;47.52;78.86;46.46
