loggingTime,loggingSample,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionMagneticFieldCalibrationAccuracy,IP_en0,IP_pdp_ip0,deviceOrientation,state
50:29.0,11,0,-1,12,10,-9999,1421743829,3.499862671,-30.63670349,-31.72859192,197.0557098,191.7581482,10,4345.301013,0.060012817,-0.514633179,-0.851303101,4345.305125,-0.075026574,0.007949802,-0.015438877,4345.268562,-0.419819101,0.058573572,0.541183003,0.031703271,0.019782066,-0.019898605,-0.004932389,0.018903965,0.007470191,XArbitraryZVertical,0.267201658,-0.028076384,-0.193047841,0.943688254,0.050174698,-0.515150309,-0.855629981,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.1,12,0,-1,12,10,-9999,1421743829,3.700958252,-30.63670349,-32.22080994,196.8216705,191.5241089,10,4345.359029,0.055526733,-0.488433838,-0.879135132,4345.341688,-0.120547188,-0.079019185,-0.005350823,4345.341688,-0.420643783,0.060114312,0.536820314,-0.109894209,-0.061507721,-0.008902442,-0.010062532,0.015236109,-0.037797216,XArbitraryZVertical,0.265287297,-0.027003782,-0.193414048,0.944184543,0.051627472,-0.511406124,-0.857786894,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.2,13,0,-1,12,10,-9999,1421743829,3.617172241,-30.28477478,-32.59817505,196.66922,191.3716583,10,4345.417196,0.034912109,-0.48765564,-0.838531494,4345.414814,0.093750994,0.019923108,-0.017426128,4345.414814,-0.422911728,0.061132308,0.536467958,0.10438548,0.037437346,-0.020980444,-0.01276253,0.019373592,0.004672731,XArbitraryZVertical,0.26518975,-0.026787081,-0.194364437,0.944022942,0.052511673,-0.511103332,-0.857913673,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.2,14,0,-1,12,10,-9999,1421743829,3.768005371,-30.63668823,-32.71302795,196.5415192,191.2439575,10,4345.475249,0.07460022,-0.512451172,-0.861297607,4345.451377,-0.113302324,-0.124748857,-0.099759351,4345.451377,-0.425631232,0.059894537,0.536167118,-0.102664657,-0.107240498,-0.103310741,0.001366991,-0.001530151,0.038139418,XArbitraryZVertical,0.26489049,-0.027699933,-0.195824615,0.943778821,0.051458936,-0.510844707,-0.858131468,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.3,15,0,-1,12,10,-9999,1421743829,4.002624512,-30.77073669,-32.25363159,196.5121307,191.2145691,10,4345.533214,0.045257568,-0.497314453,-0.838394165,4345.524503,-0.069188126,0.011481686,-0.001812814,4345.524503,-0.426244866,0.062600235,0.533133898,-0.058550071,0.028990889,-0.005364656,-0.008573934,0.008234804,0.023075331,XArbitraryZVertical,0.263720755,-0.02618298,-0.195885083,0.944137092,0.053877279,-0.508234799,-0.859531641,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.3,16,0,-1,12,10,-9999,1421743829,3.851821899,-30.61993408,-32.532547,195.4830475,190.1854858,10,4345.591284,0.062057495,-0.505432129,-0.90864563,4345.597629,0.042060635,0.057849185,0.001321194,4345.561066,-0.4280759,0.060971235,0.525937721,-0.178807065,-0.130848378,-0.108539887,0.00206527,0.016748948,-0.01730768,XArbitraryZVertical,0.260150544,-0.026427924,-0.197267428,0.944832695,0.052698523,-0.502024233,-0.8632465,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.4,17,0,-1,12,10,-9999,1421743829,3.650695801,-30.08364868,-32.99195862,194.3490448,189.0514832,10,4345.64935,0.059799194,-0.494842529,-0.825393677,4345.634191,0.043618318,-0.067924989,-0.076793315,4345.634191,-0.431267052,0.062841324,0.525277339,0.05423864,-0.050416246,-0.080346085,-0.027813813,0.032809786,0.025403412,XArbitraryZVertical,0.259983055,-0.02588898,-0.198559559,0.944623032,0.054333586,-0.501452982,-0.86347717,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.5,18,0,-1,12,10,-9999,1421743829,3.71774292,-30.15066528,-33.32011414,194.7834167,189.4858551,10,4345.707495,0.052841187,-0.482223511,-0.89201355,4345.707317,0.038629152,0.032512137,-0.02122566,4345.670755,-0.435964757,0.061444385,0.52352356,-0.095629297,-0.121917449,-0.086406559,0.02064079,-0.010502152,0.021502625,XArbitraryZVertical,0.258956251,-0.026969142,-0.20103382,0.944351486,0.053181231,-0.499934852,-0.864428639,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.5,19,0,-1,12,10,-9999,1421743829,3.734481812,-30.23443604,-33.07400513,194.8006134,189.5030518,10,4345.765413,0.063491821,-0.527053833,-0.824768066,4345.74388,0.009677128,-0.09680777,-0.06264181,4345.74388,-0.44005848,0.061395913,0.525334088,0.020300647,-0.079295211,-0.066196308,0.010774327,0.003333125,0.049073245,XArbitraryZVertical,0.259746855,-0.027719776,-0.202895247,0.943714313,0.053083707,-0.501502097,-0.863526344,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
50:29.6,20,0,-1,12,10,-9999,1421743830,4.019378662,-30.31825256,-32.95915985,196.1444702,190.8469086,10,4345.823444,0.033096313,-0.474594116,-0.886795044,4345.817006,-0.154778928,0.003551592,0.030711041,4345.780444,-0.440416783,0.06198748,0.52315892,-0.15012227,0.057381742,0.05209662,0.027102791,-0.016341668,0.02623314,XArbitraryZVertical,0.258779268,-0.027249322,-0.203080772,0.9439539,0.05366198,-0.499619037,-0.864581525,0,0,0,-1,10.20.4.224,10.165.65.4,1,0
