data	objekt	sm	google	sondaz
2015-10-07	nowacka	4283	21	
2015-10-08	nowacka	2488	14	
2015-10-09	nowacka	2476	12	
2015-10-10	nowacka	2667	18	
2015-10-11	nowacka	2317	10	
2015-10-12	nowacka	1822	10	
2015-10-13	nowacka	3436	8	
2015-10-14	nowacka	4377	12	
2015-10-15	nowacka	3724	15	
2015-10-16	nowacka	2728	11	
2015-10-17	nowacka	5614	19	
2015-10-18	nowacka	4172	17	
2015-10-19	nowacka	3946	23	
2015-10-20	nowacka	11940	65	
2015-10-21	nowacka	10947	100	
2015-10-22	nowacka	6615	78	
2015-10-23	nowacka	5803	44	
2015-10-24	nowacka	941	16	
2015-10-25	nowacka	2872	41	
2015-08-01	kopacz	8026	3	
2015-08-02	kopacz	7655	4	
2015-08-03	kopacz	7505	3	
2015-08-04	kopacz	7773	2	
2015-08-05	kopacz	6548	2	
2015-08-06	kopacz	6244	3	
2015-08-07	kopacz	5523	2	
2015-08-08	kopacz	7445	3	
2015-08-09	kopacz	9156	3	
2015-08-10	kopacz	15529	3	
2015-08-11	kopacz	11851	2	
2015-08-12	kopacz	15668	5	
2015-08-13	kopacz	18557	5	
2015-08-14	kopacz	9578	3	
2015-08-15	kopacz	6577	3	
2015-08-16	kopacz	4699	3	
2015-08-17	kopacz	9036	4	
2015-08-18	kopacz	10243	4	
2015-08-19	kopacz	11850	3	
2015-08-20	kopacz	7347	2	
2015-08-21	kopacz	20376	4	
2015-08-22	kopacz	12750	5	
2015-08-23	kopacz	7796	4	
2015-08-24	kopacz	13546	5	
2015-08-25	kopacz	10458	4	
2015-08-26	kopacz	16901	4	
2015-08-27	kopacz	12696	4	
2015-08-28	kopacz	9133	3	
2015-08-29	kopacz	5858	4	
2015-08-30	kopacz	8017	4	
2015-08-31	kopacz	24041	4	
2015-09-01	kopacz	42104	7	
2015-09-02	kopacz	23713	8	
2015-09-03	kopacz	18634	6	
2015-09-04	kopacz	16410	5	
2015-09-05	kopacz	13114	3	
2015-09-06	kopacz	6217	3	
2015-09-07	kopacz	9452	2	
2015-09-08	kopacz	12179	3	
2015-09-09	kopacz	17003	3	
2015-09-10	kopacz	17046	3	
2015-09-11	kopacz	17999	4	
2015-09-12	kopacz	19818	5	
2015-09-13	kopacz	14941	3	
2015-09-14	kopacz	14026	5	
2015-09-15	kopacz	15436	4	
2015-09-16	kopacz	17651	4	
2015-09-17	kopacz	16401	4	
2015-09-18	kopacz	10254	3	
2015-09-19	kopacz	13886	4	
2015-09-20	kopacz	17008	5	
2015-09-21	kopacz	16179	4	
2015-09-22	kopacz	22609	5	
2015-09-23	kopacz	27927	6	
2015-09-24	kopacz	19921	5	
2015-09-25	kopacz	17662	4	
2015-09-26	kopacz	19699	6	
2015-09-27	kopacz	15248	5	
2015-09-28	kopacz	12035	5	
2015-09-29	kopacz	11137	3	
2015-09-30	kopacz	15273	5	
2015-10-01	kopacz	10589	3	
2015-10-02	kopacz	15272	6	
2015-10-03	kopacz	13431	4	
2015-10-04	kopacz	11890	4	
2015-10-05	kopacz	17149	6	
2015-10-06	kopacz	12185	6	
2015-10-07	kopacz	12812	4	
2015-10-08	kopacz	8110	3	
2015-10-09	kopacz	9663	4	
2015-10-10	kopacz	11167	4	
2015-10-11	kopacz	11006	4	
2015-10-12	kopacz	27084	9	
2015-10-13	kopacz	28863	12	
2015-10-14	kopacz	40827	9	
2015-10-15	kopacz	32720	7	
2015-10-16	kopacz	31434	9	
2015-10-17	kopacz	38603	13	
2015-10-18	kopacz	39261	17	
2015-10-19	kopacz	73835	100	
2015-10-20	kopacz	60212	59	
2015-10-21	kopacz	35297	17	
2015-10-22	kopacz	20926	13	
2015-10-23	kopacz	25673	14	
2015-10-24	kopacz	5251	7	
2015-10-25	kopacz	9908	14	
2015-08-01	petru	657	0	
2015-08-02	petru	1585	4	
2015-08-03	petru	1217	4	
2015-08-04	petru	784	3	
2015-08-05	petru	494	3	
2015-08-06	petru	521	4	
2015-08-07	petru	1020	3	
2015-08-08	petru	653	4	
2015-08-09	petru	1079	6	
2015-08-10	petru	839	3	
2015-08-11	petru	1731	4	
2015-08-12	petru	964	3	
2015-08-13	petru	794	3	
2015-08-14	petru	1562	4	
2015-08-15	petru	652	4	
2015-08-16	petru	1720	4	
2015-08-17	petru	1601	3	
2015-08-18	petru	957	3	
2015-08-19	petru	643	3	
2015-08-20	petru	1718	3	
2015-08-21	petru	1718	4	
2015-08-22	petru	1900	4	
2015-08-23	petru	764	4	
