data	objekt	sm	google	sondaz
2015-09-26	kukiz	5		0,06
2015-09-27	kukiz	8		0,06
2015-09-28	kukiz	8		0,06
2015-09-29	kukiz	6		0,06
2015-09-30	kukiz	5		0,07
2015-10-01	kukiz	6		0,07
2015-10-02	kukiz	6		0,08
2015-10-03	kukiz	6		0,08
2015-10-04	kukiz	6		0,09
2015-10-05	kukiz	6		0,09
2015-10-06	kukiz	6		0,07
2015-10-07	kukiz	6		0,08
2015-10-08	kukiz	6		0,08
2015-10-09	kukiz	6		0,08
2015-10-10	kukiz	7		0,07
2015-10-11	kukiz	9		0,07
2015-10-12	kukiz	10		0,06
2015-10-13	kukiz	9		0,06
2015-10-14	kukiz	9		0,06
2015-10-15	kukiz	10		0,07
2015-10-16	kukiz	10		0,05
2015-10-17	kukiz	9		0,06
2015-10-18	kukiz	12		0,06
2015-10-19	kukiz	23		0,07
2015-10-20	kukiz	31		0,1
2015-10-21	kukiz	35		0,07
2015-10-22	kukiz	31		0,09
2015-10-23	kukiz	41		0,1
2015-10-24	kukiz	38		
2015-10-25	kukiz	100		
2015-08-01	psl		0	
2015-08-02	psl		6	
2015-08-03	psl		6	
2015-08-04	psl		5	0,06
2015-08-05	psl		4	0,06
2015-08-06	psl		4	0,05
2015-08-07	psl		6	0,05
2015-08-08	psl		6	0,05
2015-08-09	psl		6	0,04
2015-08-10	psl		6	0,04
2015-08-11	psl		6	0,04
2015-08-12	psl		4	0,04
2015-08-13	psl		4	0,05
2015-08-14	psl		4	0,06
2015-08-15	psl		5	0,06
2015-08-16	psl		5	0,06
2015-08-17	psl		6	0,06
2015-08-18	psl		6	0,06
2015-08-19	psl		5	0,06
2015-08-20	psl		5	0,06
2015-08-21	psl		5	0,06
2015-08-22	psl		4	0,05
2015-08-23	psl		4	0,05
2015-08-24	psl		4	0,04
2015-08-25	psl		6	0,05
2015-08-26	psl		5	0,06
2015-08-27	psl		5	0,07
2015-08-28	psl		7	0,05
2015-08-29	psl		7	0,05
2015-08-30	psl		6	0,05
2015-08-31	psl		6	0,05
2015-09-01	psl		8	0,05
2015-09-02	psl		7	0,05
2015-09-03	psl		9	0,05
2015-09-04	psl		5	0,05
2015-09-05	psl		6	0,05
2015-09-06	psl		6	0,04
2015-09-07	psl		6	0,04
2015-09-08	psl		6	0,03
2015-09-09	psl		5	0,02
2015-09-10	psl		6	0,04
2015-09-11	psl		6	0,05
2015-09-12	psl		13	0,05
2015-09-13	psl		8	0,05
2015-09-14	psl		19	0,05
2015-09-15	psl		10	0,05
2015-09-16	psl		9	0,05
2015-09-17	psl		7	0,05
2015-09-18	psl		7	0,05
2015-09-19	psl		7	0,05
2015-09-20	psl		6	0,06
2015-09-21	psl		5	0,06
2015-09-22	psl		6	0,06
2015-09-23	psl		6	0,05
2015-09-24	psl		5	0,06
2015-09-25	psl		8	0,06
2015-09-26	psl		6	0,06
2015-09-27	psl		6	0,06
2015-09-28	psl		8	0,06
2015-09-29	psl		8	0,06
2015-09-30	psl		7	0,06
2015-10-01	psl		6	0,05
2015-10-02	psl		7	0,05
2015-10-03	psl		6	0,06
2015-10-04	psl		5	0,06
2015-10-05	psl		9	0,06
2015-10-06	psl		7	0,06
2015-10-07	psl		8	0,06
2015-10-08	psl		9	0,05
2015-10-09	psl		7	0,05
2015-10-10	psl		6	0,05
2015-10-11	psl		8	0,06
2015-10-12	psl		10	0,06
2015-10-13	psl		7	0,06
2015-10-14	psl		9	0,06
2015-10-15	psl		11	0,04
2015-10-16	psl		10	0,06
2015-10-17	psl		10	0,06
2015-10-18	psl		10	0,06
2015-10-19	psl		18	0,06
2015-10-20	psl		19	0,05
2015-10-21	psl		17	0,05
2015-10-22	psl		16	0,06
2015-10-23	psl		28	0,06
2015-10-24	psl		19	
2015-10-25	psl		54	
2015-08-01	razem		0	
2015-08-02	razem		0	
2015-08-03	razem		0	
2015-08-04	razem		0	
2015-08-05	razem		0	
2015-08-06	razem		0	
2015-08-07	razem		0	
2015-08-08	razem		0	
2015-08-09	razem		0	
2015-08-10	razem		0	
2015-08-11	razem		0	
2015-08-12	razem		0	
2015-08-13	razem		0	
2015-08-14	razem		0	
2015-08-15	razem		0	
2015-08-16	razem		0	
2015-08-17	razem		0	
2015-08-18	razem		0	
2015-08-19	razem		0	
2015-08-20	razem		0	
2015-08-21	razem		0	
2015-08-22	razem		0	
2015-08-23	razem		0	
2015-08-24	razem		0	
2015-08-25	razem		0	
2015-08-26	razem		0	
2015-08-27	razem		0	
2015-08-28	razem		0	
2015-08-29	razem		0	
2015-08-30	razem		0	
2015-08-31	razem		0	
2015-09-01	razem		0	
2015-09-02	razem		0	
2015-09-03	razem		0	
2015-09-04	razem		0	
2015-09-05	razem		0	
2015-09-06	razem		0	
2015-09-07	razem		0	
2015-09-08	razem		0	
2015-09-09	razem		0	
2015-09-10	razem		0	
2015-09-11	razem		1	
2015-09-12	razem		2	
2015-09-13	razem		1	
2015-09-14	razem		2	
2015-09-15	razem		3	
2015-09-16	razem		3	
2015-09-17	razem		2	
2015-09-18	razem		1	
2015-09-19	razem		2	
2015-09-20	razem		1	
2015-09-21	razem		1	
2015-09-22	razem		2	
2015-09-23	razem		1	
2015-09-24	razem		2	
2015-09-25	razem		5	
2015-09-26	razem		2	
2015-09-27	razem		2	
2015-09-28	razem		1	
2015-09-29	razem		2	
2015-09-30	razem		2	
2015-10-01	razem		2	
2015-10-02	razem		2	
2015-10-03	razem		2	
2015-10-04	razem		2	
2015-10-05	razem		2	
2015-10-06	razem		2	
2015-10-07	razem		3	
2015-10-08	razem		3	
2015-10-09	razem		2	
2015-10-10	razem		4	
2015-10-11	razem		3	
2015-10-12	razem		3	
2015-10-13	razem		3	
2015-10-14	razem		2	
2015-10-15	razem		4	
2015-10-16	razem		5	
2015-10-17	razem		3	
2015-10-18	razem		6	
2015-10-19	razem		10	
2015-10-20	razem		53	
2015-10-21	razem		100	
2015-10-22	razem		40	
2015-10-23	razem		40	
2015-10-24	razem		22	
2015-10-25	razem		50	
2015-08-01	szydło		3	
2015-08-02	szydło		2	
2015-08-03	szydło		3	
2015-08-04	szydło		3	
2015-08-05	szydło		3	
2015-08-06	szydło		3	
2015-08-07	szydło		3	
2015-08-08	szydło		3	
2015-08-09	szydło		3	
2015-08-10	szydło		2	
2015-08-11	szydło		2	
2015-08-12	szydło		3	
2015-08-13	szydło		2	
2015-08-14	szydło		2	
2015-08-15	szydło		2	
2015-08-16	szydło		2	
2015-08-17	szydło		2	
2015-08-18	szydło		3	
2015-08-19	szydło		2	
2015-08-20	szydło		4	
2015-08-21	szydło		3	
2015-08-22	szydło		3	
2015-08-23	szydło		3	
2015-08-24	szydło		3	
2015-08-25	szydło		2	
2015-08-26	szydło		3	
2015-08-27	szydło		3	
2015-08-28	szydło		2	
2015-08-29	szydło		3	
2015-08-30	szydło		3	
2015-08-31	szydło		3	
2015-09-01	szydło		3	
2015-09-02	szydło		3	
2015-09-03	szydło		3	
2015-09-04	szydło		3	
2015-09-05	szydło		2	
2015-09-06	szydło		1	
2015-09-07	szydło		2	
2015-09-08	szydło		2	
2015-09-09	szydło		3	
2015-09-10	szydło		3	
2015-09-11	szydło		2	
2015-09-12	szydło		4	
2015-09-13	szydło		3	
2015-09-14	szydło		3	
2015-09-15	szydło		3	
2015-09-16	szydło		2	
2015-09-17	szydło		4	
2015-09-18	szydło		3	
2015-09-19	szydło		2	
2015-09-20	szydło		2	
2015-09-21	szydło		3	
2015-09-22	szydło		3	
2015-09-23	szydło		3	
2015-09-24	szydło		3	
2015-09-25	szydło		3	
2015-09-26	szydło		2	
2015-09-27	szydło		2	
2015-09-28	szydło		3	
2015-09-29	szydło		3	
2015-09-30	szydło		3	
2015-10-01	szydło		3	
2015-10-02	szydło		4	
2015-10-03	szydło		2	
2015-10-04	szydło		3	
2015-10-05	szydło		4	
2015-10-06	szydło		4	
2015-10-07	szydło		4	
2015-10-08	szydło		4	
2015-10-09	szydło		5	
2015-10-10	szydło		4	
2015-10-11	szydło		5	
2015-10-12	szydło		6	
2015-10-13	szydło		6	
2015-10-14	szydło		6	
2015-10-15	szydło		7	
2015-10-16	szydło		8	
2015-10-17	szydło		8	
2015-10-18	szydło		14	
2015-10-19	szydło		100	
2015-10-20	szydło		56	
2015-10-21	szydło		20	
2015-10-22	szydło		17	
2015-10-23	szydło		26	
2015-10-24	szydło		10	
2015-10-25	szydło		31	
2015-08-01	zandberg		0	
2015-08-02	zandberg		0	
2015-08-03	zandberg		0	
2015-08-04	zandberg		0	
2015-08-05	zandberg		0	
2015-08-06	zandberg		0	
2015-08-07	zandberg		0	
2015-08-08	zandberg		0	
2015-08-09	zandberg		0	
2015-08-10	zandberg		0	
2015-08-11	zandberg		0	
2015-08-12	zandberg		0	
2015-08-13	zandberg		0	
2015-08-14	zandberg		0	
2015-08-15	zandberg		0	
2015-08-16	zandberg		0	
2015-08-17	zandberg		0	
2015-08-18	zandberg		0	
2015-08-19	zandberg		0	
2015-08-20	zandberg		0	
2015-08-21	zandberg		0	
2015-08-22	zandberg		0	
2015-08-23	zandberg		0	
2015-08-24	zandberg		0	
2015-08-25	zandberg		0	
2015-08-26	zandberg		0	
2015-08-27	zandberg		0	
2015-08-28	zandberg		0	
2015-08-29	zandberg		0	
2015-08-30	zandberg		0	
2015-08-31	zandberg		0	
2015-09-01	zandberg		0	
2015-09-02	zandberg		0	
2015-09-03	zandberg		0	
2015-09-04	zandberg		0	
2015-09-05	zandberg		0	
2015-09-06	zandberg		0	
2015-09-07	zandberg		0	
2015-09-08	zandberg		0	
2015-09-09	zandberg		0	
2015-09-10	zandberg		0	
2015-09-11	zandberg		0	
2015-09-12	zandberg		0	
2015-09-13	zandberg		0	
2015-09-14	zandberg		0	
2015-09-15	zandberg		0	
2015-09-16	zandberg		0	
2015-09-17	zandberg		0	
2015-09-18	zandberg		0	
2015-09-19	zandberg		0	
2015-09-20	zandberg		0	
2015-09-21	zandberg		0	
2015-09-22	zandberg		0	
2015-09-23	zandberg		0	
2015-09-24	zandberg		0	
2015-09-25	zandberg		0	
2015-09-26	zandberg		0	
2015-09-27	zandberg		0	
2015-09-28	zandberg		0	
2015-09-29	zandberg		0	
2015-09-30	zandberg		0	
2015-10-01	zandberg		0	
2015-10-02	zandberg		0	
2015-10-03	zandberg		0	
2015-10-04	zandberg		0	
2015-10-05	zandberg		0	
2015-10-06	zandberg		0	
2015-10-07	zandberg		0	
2015-10-08	zandberg		0	
2015-10-09	zandberg		0	
2015-10-10	zandberg		0	
2015-10-11	zandberg		0	
2015-10-12	zandberg		0	
2015-10-13	zandberg		0	
2015-10-14	zandberg		0	
2015-10-15	zandberg		0	
2015-10-16	zandberg		0	
2015-10-17	zandberg		0	
2015-10-18	zandberg		0	
2015-10-19	zandberg		0	
2015-10-20	zandberg		49	
2015-10-21	zandberg		100	
2015-10-22	zandberg		49	
2015-10-23	zandberg		28	
2015-10-24	zandberg		10	
2015-10-25	zandberg		17	
