Data,Otwarcie,Max.,Min.,Zamknięcie,Wolumen
2012-01-02,2150.6,2199,2143.87,2194.11,9743950
2012-01-03,2203.07,2207.93,2184.1,2204.27,35639348
2012-01-04,2197.87,2200.78,2160.82,2183.98,53626894
2012-01-05,2181.38,2181.38,2133.77,2157.43,19517064
2012-01-09,2164.2,2164.2,2126.71,2126.71,22781829
2012-01-10,2140.68,2164.57,2134.01,2138.06,26790974
2012-01-11,2151.91,2155.59,2119.32,2131,25183819
2012-01-12,2133.78,2183.29,2130.67,2166.99,25221052
2012-01-13,2182.11,2192.63,2147.67,2166.38,16137326
2012-01-16,2153.32,2185.09,2150.77,2182.94,17438271
2012-01-17,2209.14,2236.08,2207.21,2207.87,38577577
2012-01-18,2225.97,2235.94,2204.98,2228.09,29851535
2012-01-19,2239.67,2244.38,2200.99,2244.38,35769956
2012-01-20,2243.23,2261.02,2232.64,2261.02,41967272
2012-01-23,2260.36,2274.91,2252.88,2265.75,25812477
2012-01-24,2266.41,2272.49,2251.21,2264.78,23685512
2012-01-25,2276.68,2279.95,2243.1,2252.99,29830569
2012-01-26,2265.61,2326.72,2259.38,2305.55,44152683
2012-01-27,2307.13,2330.56,2302,2306.37,32741246
2012-01-30,2299.47,2316.62,2286.35,2316.62,15435754
2012-01-31,2323.93,2356.21,2322.04,2332.17,34472945
2012-02-01,2335.04,2370.59,2333.17,2363.6,26780710
2012-02-02,2378.68,2380.42,2357.39,2371.09,22622172
2012-02-03,2368.73,2397.61,2362.07,2374.47,19969189
2012-02-06,2370.99,2390.27,2362.6,2390.27,19570088
2012-02-07,2390.97,2401.5,2358.43,2374.64,35003651
2012-02-08,2383.73,2391.17,2368.1,2376.65,28130735
2012-02-09,2388.62,2394.96,2352.29,2364.29,25001629
2012-02-10,2353.62,2358.66,2324.97,2324.97,22562672
2012-02-13,2345.79,2350.46,2331.09,2342.29,11056385
2012-02-14,2342.57,2360.73,2327.84,2329.32,25767674
2012-02-15,2351,2353.78,2326.16,2335.41,26576722
2012-02-16,2320.82,2346.47,2316.11,2319.33,24568121
2012-02-17,2348.96,2359.89,2342.81,2359.89,18284322
2012-02-20,2369.07,2379.84,2348.92,2348.92,18455826
2012-02-21,2365.77,2366.33,2339.39,2352.13,14951997
